MAUI errors

Severity	Code	Description	Project	File	Line	Suppression State
Error	APT2260	resource color/zm_v1_white (aka com.companyname.sampleapp:color/zm_v1_white) not found.	SampleApp	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\MAUI\SampleApp\obj\Debug\net7.0-android\lp\212\jl\res\values\values.xml	2	
Error	APT2260	resource color/zm_v1_black_200 (aka com.companyname.sampleapp:color/zm_v1_black_200) not found.	SampleApp	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\MAUI\SampleApp\obj\Debug\net7.0-android\lp\212\jl\res\values-night-v8\values-night-v8.xml	2	
Error	APT2260	resource color/zm_v1_black_alpha15 (aka com.companyname.sampleapp:color/zm_v1_black_alpha15) not found.	SampleApp	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\MAUI\SampleApp\obj\Debug\net7.0-android\lp\212\jl\res\values-night-v8\values-night-v8.xml	2	
Error	APT2260	resource color/zm_v1_black_alpha40 (aka com.companyname.sampleapp:color/zm_v1_black_alpha40) not found.	SampleApp	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\MAUI\SampleApp\obj\Debug\net7.0-android\lp\212\jl\res\values\values.xml	2	
Error	APT2260	resource color/zm_v1_blue_500 (aka com.companyname.sampleapp:color/zm_v1_blue_500) not found.	SampleApp	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\MAUI\SampleApp\obj\Debug\net7.0-android\lp\212\jl\res\values\values.xml	2	
Error	APT2260	resource color/zm_v1_blue_600 (aka com.companyname.sampleapp:color/zm_v1_blue_600) not found.	SampleApp	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\MAUI\SampleApp\obj\Debug\net7.0-android\lp\212\jl\res\values\values.xml	2	
Error	APT2260	resource color/zm_v1_blue_A100 (aka com.companyname.sampleapp:color/zm_v1_blue_A100) not found.	SampleApp	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\MAUI\SampleApp\obj\Debug\net7.0-android\lp\212\jl\res\values\values.xml	2	
Error	APT2260	resource color/zm_v1_blue_A700 (aka com.companyname.sampleapp:color/zm_v1_blue_A700) not found.	SampleApp	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\MAUI\SampleApp\obj\Debug\net7.0-android\lp\212\jl\res\values\values.xml	2	
Error	APT2260	resource color/zm_v1_blue_A800 (aka com.companyname.sampleapp:color/zm_v1_blue_A800) not found.	SampleApp	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\MAUI\SampleApp\obj\Debug\net7.0-android\lp\212\jl\res\values\values.xml	2	
Error	APT2260	resource color/zm_v1_blue_A900 (aka com.companyname.sampleapp:color/zm_v1_blue_A900) not found.	SampleApp	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\MAUI\SampleApp\obj\Debug\net7.0-android\lp\212\jl\res\values\values.xml	2	
